Number,Station,x,y
-7.5,USC00054413,40.9878,102.2653
-5.25,USC00054444,38.7411,103.5428
-3.65,USC00054452,39.49,105.0953
-1.1,USC00054538,37.4536,103.3219
-1.35,USC00054546,37.115,103.2986
-3.35,USC00054606,38.8867,102.7233
-14.45,USC00054664,40.0575,106.3681
-1.95,USC00054724,37.9822,103.5439
0.0,USC00054726,37.7514,103.4767
-10.55,USC00054734,38.0247,107.3147
-13.05,USC00054742,38.9075,105.4706
-2.2,USC00054762,39.7489,105.1206
-2.5,USC00054770,38.0936,102.6306
-0.8,USC00054834,38.0636,103.2153
-10.25,USC00054934,37.3789,107.6592
-2.8,USC00054945,40.5147,102.9906
-5.55,USC00055025,39.7556,103.4986
-5.8,USC00055236,40.435,105.085
-8.9,USC00055322,37.1711,105.94
-10.3,USC00055327,37.335,108.3161
-3.35,USC00055402,39.6211,105.0656
-13.05,USC00055446,40.5158,108.0947
-11.1,USC00055484,40.0358,107.9058
-9.75,USC00055531,37.1997,108.4892
-10.0,USC00055706,37.5811,106.1867
-5.85,USC00055722,38.4858,107.8792
-5.85,USC00055733,39.0564,104.8683
-6.65,USC00055934,40.9319,103.8678
-2.5,USC00055984,39.8989,105.0133
-10.8,USC00056013,38.1314,108.285
-7.25,USC00056040,40.2406,107.0969
-3.6,USC00056131,38.2211,103.7322
-4.45,USC00056136,38.53,103.7058
-9.45,USC00056205,38.0264,107.6725
-9.45,USC00056259,37.2658,107.0531
-6.4,USC00056266,39.1136,108.3506
-8.05,USC00056306,38.8522,107.6225
-8.9,USC00056320,38.3897,108.9494
-3.6,USC00056323,39.5144,104.7503
-2.8,USC00056520,38.0178,108.0514
-1.1,USC00056765,38.2597,104.7178
0.3,USC00056816,39.8297,105.2353
-16.35,USC00056832,40.0889,108.7728
-9.7,USC00057020,38.15,107.7583
-10.8,USC00057033,39.5572,107.7261
-10.55,USC00057050,37.7219,107.2667
-2.8,USC00057167,38.0383,103.6947
-5.55,USC00057287,38.8611,104.0939
-8.05,USC00057296,40.7022,105.7106
-1.4,USC00057309,38.8417,104.9742
-1.1,USC00057317,37.9136,104.9483
2.25,USC00057370,38.5328,106.0158
-10.55,USC00057450,37.8225,107.1097
-3.35,USC00057515,40.8658,102.5161
-3.35,USC00057519,39.295,102.8678
-4.7,USC00057560,39.5719,103.2922
-5.3,USC00057572,37.715,105.2353
-3.1,USC00057586,38.4683,102.2169
-9.15,USC00057656,37.8089,107.6633
-9.7,USC00057936,40.4883,106.8233
-2.8,USC00057950,40.6278,103.2083
-5.55,USC00058022,39.4344,105.1208
-10.55,USC00058064,39.2494,106.3714
-1.4,USC00058157,38.3422,104.0567
-15.0,USC00058184,38.8183,106.6086
1.7,USC00058429,37.1786,104.4869
-3.35,USC00058436,37.1503,104.5567
-9.45,USC00058501,39.0942,106.3506
-5.3,USC00058560,38.3761,108.7422
-12.5,USC00058575,39.6394,106.3539
-11.15,USC00058582,37.3806,107.5811
-8.05,USC00058690,40.9656,105.2186
-12.2,USC00058756,40.7442,106.2792
-1.4,USC00058781,37.6303,104.7956
-2.25,USC00058793,37.3822,102.2986
-3.9,USC00058839,40.4256,105.2103
-10.85,USC00058860,37.4297,106.0317
-2.8,USC00058931,38.1314,105.4661
-2.8,USC00058995,39.775,105.1169
-4.2,USC00059058,38.9028,103.0192
-7.2,USC00059060,38.6675,102.9936
-14.45,USC00059096,40.0375,106.2039
-2.8,USC00059243,40.0819,102.2069
-11.4,USC00059265,40.1564,106.9108
